 Name,RA,Decl,Gal.  long. [deg],Gal.  lat. [deg],Flux  (max) [C.U.],Radius [arc min],Counterpart or  other name(s),Publication(s),SOM
 HESS J0449-438,72.35291667,-43.83583333, 248.81, -39.92,,0, PKS 0447-439, ATel 2350 (2009);  Texas 2010 [arXiv:1105:0840];  A&A 552 (2013) A118, 2011-03
 HESS J1808-204,272.1554167,-20.42666667, 9.98, -0.24, 0.015, 9," SGR 1806-20,  LBV 1806-20,  Cl* 1806-20", A&A 612 (2018) A11, 2012-02; 2016-05
 HESS J1832-093,278.2083333,-9.376666667, 22.48, -0.18, 0.01,0, SNR G22.7-0.2 ?," Fermi Symposium 2011 [arXiv:1110.6890], MNRAS 446 (2015) 1163", 2012-05
 HESS J0303-241,45.86041667,-24.11972222, 214.62, -60.18,,0, PKS 0301-243, A&A 559 (2013) A136, 2013-02
 HESS J1717-374,259.4908333,-37.44444444, 349.72, 0.17, 0.007, 0, G349.7+0.2, A&A 574 (2015) id.A100 [arXiv:1412.2251], 2013-06
 HESS J0627-354,96.77791667,-35.4875, 243.45, -19.97, 0.04,0, PKS 0625-354, ICRC 2015 [arXiv:1509.06851];  MNRAS 476 (2018) 4187,
 HESS J0739+017,114.825,1.618055556, 216.99, 11.38,,0, PKS 0736+017, A&A 633 (2020) A162, 2016-07; 2020-03
 HESS J0525-696,81.25916667,-69.64416667, 280.31, -32.78, 0.005,0, N 132D, Science 347 (2015) 406,
 HESS J0535-691,83.97916667,-69.18611111, 279.60, -31.91, 0.006,0, 30 Dor C, Science 347 (2015) 406,
 HESS J0835-451,128.83625,-45.17638889, 263.55, -2.79,,0, Vela pulsar, TeVPA2014 [www.mpi-hd.mpg.de/hfm/HESS/201406-TeVPA-Amsterdam-nofilm.pdf];  A&A 620 (2018) A66, 2018-11
 HESS J1746-285,266.5954167,-28.87388889, 0.14, -0.11, 0.007,0,, A&A 612 (2018) A9,
 HESS J0536-675,84,-67.58527778, 277.72, -32.09, 0.006,0, LMC P3;  CAL 60;  CXOU 053600.0-673507, ICRC2017 [arXiv:1708:03171];  A&A 610 (2018) L17, 2017-12
 HESS J1045-596,161.265,-59.68444444, 287.60, -0.63,,0, Eta Carinae, ICRC2017 [arXiv:1708.01033];  A&A 635 (2020) A167, 2017-08
 HESS J1653+397,253.4675,39.76027778, 63.60, 38.86,,0, Mkn 501, ApJ 870 (2019) 93, 2019-04
 HESS J0002-029,0.531666667,-2.935, 94.83, -63.08,,0, GRB 180720B, Nature 575 (2019) 464, 2019-12
 HESS J0904-575,136.2191667,-57.58611111, 276.12, -7.04,, 0, PKS 0903-57, ATel 13632, 2020-10
