NAME,RUNID,EVENTID,START,EVENTMJD,I3TYPE,RA,DEC,RA_ERR_PLUS,RA_ERR_MINUS,DEC_ERR_PLUS,DEC_ERR_MINUS,ENERGY,FAR,SIGNAL,CASCADE_SCR,SKIMMING_SCR,START_SCR,STOP_SCR,THRGOING_SCR,CR_VETO
IC170208A,129153,11436007,04:29.9,57792.12812,gfu-bronze,99.67,16.84,2.59,3.3,1.6,1.55,151,1.66,0.431,3.89E-10,2.39E-05,8.20E-05,1.72E-05,1,FALSE
IC170208B,129154,45298080,17:08.1,57792.59523,gfu-bronze,92.81,4.59,1.23,1.05,0.94,1.16,133,3.23,0.328,2.63E-07,1.16E-08,0.0325,0.000106,0.967,FALSE
IC170227A,129232,51118868,33:25.3,57811.06488,gfu-bronze,205.09,4.26,1.89,3.96,1.09,1.12,108,3.91,0.267,3.23E-06,8.13E-09,1,6.18E-08,0.000103,FALSE
IC170308A,129267,34234803,11:49.3,57820.92488,gfu-bronze,155.35,5.53,2.02,1.19,0.98,0.9,107,4.44,0.254,8.08E-07,3.20E-06,0.00154,4.79E-05,0.998,FALSE
IC170321A,129307,80305071,32:20.7,57833.31413,ehe-gold,98.26,-15.06,1.32,0.92,1.04,1.2,231,1.15,0.242,0.000689,0.000314,0.04,0.00484,0.954,FALSE
IC170422A,129420,59928529,29:49.2,57865.64571,gfu-bronze,240.95,5.53,3.34,5.71,0.83,1.01,161,1.95,0.391,9.40E-06,2.83E-09,1,1.19E-07,4.51E-05,FALSE
IC170427A,129434,58903823,31:46.0,57870.31373,gfu-bronze,5.32,-0.6,4.48,5.27,1.75,1.23,155,2.26,0.383,1.16E-06,9.92E-07,0.0585,1.84E-05,0.941,FALSE
IC170514A,129506,21161807,11:27.7,57887.17463,gfu-bronze,311.97,18.6,2.2,1.23,2.1,1.1,109,2.53,0.338,7.07E-06,2.83E-07,0.897,8.78E-05,0.103,FALSE
IC170514B,129506,49650572,12:13.0,57887.30015,gfu-gold,227.37,30.65,1.23,1.1,1.4,0.99,174,0.82,0.553,3.64E-11,1.49E-07,3.82E-06,4.75E-05,1,FALSE
IC170527A,129550,51402681,40:16.8,57900.06964,gfu-bronze,178.59,26.49,2.77,3.47,3.82,3.45,124,1.43,0.422,2.83E-10,2.65E-07,0.00428,1.30E-05,0.996,FALSE
IC170621A,129654,8332254,35:20.5,57925.19121,gfu-bronze,74.97,25.08,7.25,7.78,5.57,6.2,109,2.13,0.367,1.56E-09,8.23E-07,8.10E-06,2.59E-05,1,FALSE
IC170626A,129677,55886338,27:48.9,57930.51932,gfu-gold,280.99,8.8,3.03,1.63,1.13,0.9,201,0.99,0.547,1.28E-08,2.35E-06,0.000866,1.27E-05,0.999,FALSE
IC170704A,129701,49353375,01:20.8,57938.2926,gfu-gold,230.45,23.36,1.67,1.71,1.1,0.89,195,0.78,0.602,4.09E-11,9.05E-08,5.07E-07,3.06E-05,1,FALSE
IC170717A,129777,67372962,37:25.7,57951.81766,gfu-gold,208.39,25.16,1.67,1.19,1.41,1.35,534,0.3,0.866,4.02E-10,1.63E-07,5.58E-07,7.22E-07,1,FALSE
IC170803A,129855,33565191,00:44.4,57968.08385,gfu-gold,1.1,4.63,4.48,1.76,0.41,0.41,214,0.93,0.561,2.54E-07,1.33E-05,0.00122,7.40E-05,0.999,FALSE
IC170809A,129878,40814378,19:46.0,57974.59706,gfu-gold,21.27,-2.28,0.75,1.05,0.6,0.67,226,0.69,0.598,4.73E-08,2.39E-07,1.80E-05,0.000166,1,FALSE
IC170819A,129915,72252401,37:09.5,57984.2758,gfu-bronze,26.98,18.88,1.85,3.03,1.11,1.1,167,1.21,0.509,3.16E-12,7.82E-08,1.02E-06,4.88E-07,1,FALSE
IC170824A,129933,32926212,17:24.1,57989.55375,gfu-gold,41.92,12.37,3.03,3.56,1.46,1.3,175,1.19,0.489,2.72E-07,1.44E-06,0.00414,0.00192,0.994,FALSE
IC170922A,130033,50579430,54:30.4,58018.87119,gfu-gold,77.43,5.79,1.14,0.75,0.64,0.41,264,0.6,0.631,2.62E-09,4.88E-07,2.77E-05,2.02E-05,1,FALSE
IC170923A,130034,7858514,30:40.4,58019.0213,gfu-gold,173.45,-2.54,2.37,2.55,0.9,1.31,202,0.93,0.563,1.11E-06,2.77E-08,0.00529,4.38E-05,0.995,FALSE
IC171006A,130092,30964247,23:14.7,58032.30781,gfu-bronze,132.63,17.23,1.41,2.24,1.06,0.66,118,2.24,0.37,5.36E-07,9.94E-11,1,8.58E-11,4.32E-07,FALSE
IC171015A,130126,56068624,34:30.1,58041.06563,hese-gold,162.91,-15.48,2.99,1.71,1.62,1.98,72,0.3,0.554,8.81E-06,9.99E-06,0.258,0.000368,0.741,FALSE
IC171028A,130172,52824390,21:16.5,58054.76477,gfu-bronze,294.52,2.05,3.56,3.38,2.2,3.21,133,3,0.337,3.91E-08,5.33E-06,1.94E-05,0.00013,1,FALSE
IC171106A,130214,17569642,39:39.2,58063.77754,gfu-gold,340.14,7.44,0.62,0.62,0.3,0.26,1573,0.19,0.975,5.14E-06,6.24E-08,0.0371,4.60E-05,0.963,FALSE
IC171108A,130220,11599241,06:50.4,58065.75475,gfu-bronze,269.65,-20.7,0.22,0.18,0.16,0.16,20310,0.15,0.179,4.07E-06,0.000162,2.57E-05,0.00106,0.999,TRUE
IC180117A,130561,84363835,03:10.6,58135.75221,hese-bronze,206.1,3.92,1.19,1.14,0.71,0.78,85,0.33,0.424,5.95E-05,1.30E-08,1,3.99E-08,1.06E-06,FALSE
IC180123A,130588,44934051,14:58.6,58141.67707,gfu-gold,77.12,8.01,2.5,2.9,0.41,0.49,416,0.54,0.788,3.13E-09,4.04E-05,4.04E-06,4.39E-06,1,FALSE
IC180125A,130597,55489144,25:03.5,58143.97574,gfu-bronze,207.51,23.77,1.01,0.57,0.57,0.57,110,2.19,0.362,1.80E-12,1.15E-09,0.000277,5.49E-07,1,FALSE
IC180205A,130639,37366501,06:04.6,58154.00422,gfu-bronze,17.4,-10.54,1.36,0.92,0.76,0.72,113,0.94,0.229,2.81E-06,1.10E-06,0.000137,8.51E-05,1,FALSE
IC180213A,130684,80612787,04:03.9,58162.37782,gfu-bronze,66.97,6.09,2.46,2.59,1.95,1.72,111,3.93,0.273,3.83E-08,3.11E-07,0.000535,0.00114,0.998,FALSE
IC180228A,130743,25740057,44:15.7,58177.5724,gfu-bronze,294.79,26.4,1.85,1.71,0.79,1.12,124,1.41,0.424,3.79E-12,3.49E-09,3.25E-08,8.05E-06,1,FALSE
IC180313A,130797,67186364,17:09.4,58190.67858,gfu-bronze,287.18,5.53,0.75,2.46,0.34,0.26,160,2.01,0.388,8.12E-08,7.22E-08,0.00916,0.000156,0.991,FALSE
IC180314A,130801,16289732,17:42.5,58191.80396,gfu-bronze,58.71,0.78,1.89,1.67,1.01,1.01,145,2.61,0.36,5.70E-08,1.24E-06,6.34E-06,7.68E-06,1,FALSE
IC180316A,130807,3160265,49:26.0,58193.24266,gfu-bronze,271.71,-1.42,1.19,3.43,1.23,1.27,156,2.15,0.391,2.72E-05,1.40E-07,0.152,0.0114,0.836,FALSE
IC180410A,130912,76035104,38:35.1,58218.77679,gfu-gold,218.5,0.56,0.79,1.27,0.75,0.71,234,0.7,0.6,1.24E-08,3.90E-09,9.90E-05,1.11E-05,1,FALSE
IC180417A,130932,35022693,41:03.5,58225.27851,gfu-gold,305.73,-4.41,3.6,1.58,0.67,0.75,202,0.85,0.577,1.81E-05,1.10E-06,0.15,0.000107,0.85,FALSE
IC180528A,131096,32665194,09:00.4,58266.50625,gfu-bronze,312.14,0.3,1.41,2.02,0.86,1.45,110,4.2,0.278,1.29E-06,2.71E-06,0.027,1.55E-05,0.973,FALSE
IC180608A,131134,60192271,19:31.9,58277.5969,gfu-bronze,69.08,-1.08,1.63,1.41,0.78,0.78,158,2.07,0.396,1.58E-05,8.90E-07,0.00125,0.00101,0.998,FALSE
IC180612A,131145,43542963,34:10.3,58281.1904,gfu-bronze,338.69,3.73,5.1,5.71,2.81,3.7,107,4.66,0.25,2.91E-07,2.04E-06,0.00393,4.41E-05,0.996,FALSE
IC180613A,131165,9342044,34:35.9,58282.98236,gfu-bronze,38.06,11.53,5.84,4.26,4.15,4.91,155,1.57,0.415,2.10E-11,9.53E-07,2.36E-07,2.79E-06,1,FALSE
IC180728A,131321,73241305,16:23.2,58327.84471,gfu-bronze,74.14,-17.74,0.44,0.35,0.51,0.59,16952,0.31,0.178,1.33E-06,0.000628,3.35E-07,9.29E-05,0.999,TRUE
IC180807A,131360,57649537,51:19.9,58337.20231,gfu-bronze,100.37,11.15,4,5.05,2.98,2.12,106,3.3,0.276,1.04E-09,3.21E-06,8.83E-06,1.32E-05,1,FALSE
IC180908A,131475,34507973,59:31.8,58369.83301,ehe-gold,144.98,-2.39,1.49,2.2,1.16,1.12,144,1.83,0.3,2.71E-06,2.13E-05,0.000449,0.000361,0.999,FALSE
IC180909A,131477,57977901,30:01.5,58370.60418,gfu-bronze,141.37,26.94,1.05,1.27,0.88,1,171,0.83,0.533,2.77E-11,1.72E-07,1.94E-06,1.50E-05,1,FALSE
IC180919A,131519,27561842,33:47.2,58380.06513,gfu-bronze,258.4,32.84,1.49,1.49,0.94,0.75,144,1.02,0.478,9.36E-11,1.17E-08,0.0718,1.92E-08,0.928,FALSE
IC181008A,131602,39194539,42:20.7,58399.77941,gfu-bronze,77.08,1.23,2.68,3.56,1.23,1.16,108,4.42,0.267,3.60E-08,6.85E-07,0.00068,9.57E-06,0.999,FALSE
IC181014A,131624,12296708,52:19.1,58405.49467,hese-bronze,225.22,-34.95,1.36,2.64,1.22,1.79,62,1.88,0.386,0.00106,0.007,0.00547,0.0109,0.976,FALSE
IC181023A,131653,53411354,37:32.7,58414.69274,ehe-gold,270.18,-8.42,1.89,1.71,1.13,1.55,237,1.12,0.153,3.27E-05,1.58E-09,1,5.65E-08,2.22E-06,FALSE
IC181023B,131653,63430929,39:45.7,58414.73595,gfu-bronze,78.27,21.54,1.76,0.92,0.96,0.93,136,1.66,0.427,3.30E-13,1.59E-10,0.0001,4.46E-07,1,FALSE
IC181114B,131746,47815348,40:17.6,58436.94465,gfu-bronze,6.02,18.84,1.63,2.24,0.87,0.98,145,1.75,0.438,1.64E-09,2.21E-08,3.02E-07,0.000253,1,FALSE
IC181120A,131764,48222919,00:32.2,58442.70871,gfu-gold,25.71,11.72,5.54,5.27,2.41,4.5,188,0.99,0.537,6.70E-10,6.08E-07,2.70E-07,0.00011,1,FALSE
IC181120B,131767,7377802,38:51.0,58442.94365,gfu-bronze,324.58,51.74,7.74,9.04,6.75,9.48,173,0.15,0.571,2.93E-05,2.59E-10,1,5.33E-10,2.08E-08,FALSE
IC181121A,131768,80926380,55:09.2,58443.57997,gfu-gold,132.19,32.93,7.34,6.99,4.19,3.57,209,0.52,0.645,4.36E-11,7.32E-09,1.92E-07,5.66E-06,1,FALSE
IC181212A,131913,38717715,02:43.9,58464.08523,hese-bronze,316.41,-31,1.85,2.02,1.68,1.58,162,1.38,0.459,7.78E-05,0.000191,0.0011,0.00163,0.997,FALSE
IC190113A,132043,80110393,07:28.8,58496.08853,gfu-bronze,56.91,-0.82,1.63,1.41,0.75,0.82,156,2.21,0.386,7.40E-09,5.26E-07,5.41E-06,2.03E-05,1,FALSE
IC190124A,132077,9759013,43:54.8,58507.1555,hese-gold,307.44,-32.22,0.53,1.14,0.96,0.31,157,0.3,0.743,5.83E-05,1.74E-07,1,1.15E-07,1.67E-05,FALSE
IC190201A,132128,69441226,22:34.0,58515.01567,gfu-bronze,245.08,38.78,0.75,0.88,0.77,0.67,163,0.38,0.533,2.21E-10,2.42E-13,1,3.95E-12,1.94E-06,FALSE
IC190214A,132206,36575563,08:39.4,58528.67268,gfu-gold,228.25,-4.14,0.79,0.53,0.37,0.3,348,0.31,0.738,4.49E-08,7.39E-09,0.0518,2.66E-05,0.948,FALSE
IC190221A,132229,66688965,25:39.7,58535.35115,hese-gold,268.59,-17,1.41,1.58,1.24,0.51,56,0.36,0.55,9.34E-05,4.43E-05,0.294,0.00377,0.702,FALSE
IC190223A,132237,23969090,24:04.1,58537.85005,gfu-bronze,155.21,19.67,0.7,0.66,0.28,0.44,168,1.15,0.512,1.15E-09,3.68E-09,0.0093,6.51E-07,0.991,FALSE
IC190317A,132321,28454069,57:54.3,58559.83188,gfu-bronze,81.25,3.21,5.89,5.98,3.93,4.07,108,4.4,0.26,8.09E-09,2.00E-11,1,1.32E-10,7.73E-08,FALSE
IC190410A,132427,70353420,28:19.6,58583.43634,gfu-bronze,310.61,12.22,3.3,3.65,2.84,2.28,105,3.01,0.28,7.59E-08,5.31E-06,0.000232,0.0203,0.979,FALSE
IC190413A,132437,16335312,47:58.5,58586.44998,gfu-bronze,219.33,11.72,0.7,1.32,0.72,0.72,107,2.75,0.292,8.79E-06,1.08E-06,0.133,0.000791,0.866,FALSE
IC190413B,132437,67132865,57:01.5,58586.6646,gfu-bronze,245.57,21.98,1.23,1.49,1.21,1.44,115,2.01,0.383,8.75E-11,4.52E-09,2.85E-07,8.69E-06,1,FALSE
IC190415A,132443,12627143,29:43.3,58588.43731,gfu-bronze,154.86,5.27,2.94,4.7,2.48,1.95,117,3.64,0.298,3.03E-09,1.21E-07,0.000274,7.59E-06,1,FALSE
IC190422A,132465,3856549,59:42.1,58595.24979,gfu-bronze,166.9,17.39,3.21,3.03,2,2.56,170,1.19,0.513,5.78E-07,3.36E-10,1,4.68E-09,1.43E-06,FALSE
IC190503A,132508,42419327,23:08.7,58606.72441,ehe-gold,120.19,6.43,0.66,0.66,0.68,0.75,142,1.75,0.341,3.12E-05,5.51E-06,0.111,0.000117,0.889,FALSE
IC190504A,132518,766165,25:18.4,58607.76757,hese-bronze,65.17,-37.26,1.67,1.14,0.61,1.09,55,1.88,0.386,2.52E-05,0.00203,0.0556,0.00518,0.937,FALSE
IC190515A,132577,42662743,48:52.8,58618.45061,gfu-gold,127.88,12.6,0.79,0.83,0.5,0.46,457,0.44,0.816,5.39E-09,1.35E-08,0.00283,2.26E-05,0.997,FALSE
IC190613A,132684,5635104,54:18.1,58647.82938,gfu-gold,312.19,26.57,0.66,0.79,0.75,0.71,195,0.72,0.606,1.17E-09,7.05E-07,0.000701,0.000129,0.999,FALSE
IC190619A,132707,54984442,14:18.0,58653.5516,gfu-gold,343.52,10.28,4.13,3.16,2.02,2.76,199,0.98,0.547,4.39E-08,8.17E-05,0.000105,9.73E-05,1,FALSE
IC190629A,132768,5390846,24:15.1,58663.80851,gfu-bronze,29.12,84.56,39.68,118.65,4.66,4.4,109,0.64,0.343,5.12E-05,9.50E-10,1,3.50E-09,9.00E-09,FALSE
IC190704A,132792,60166398,48:52.3,58668.78394,gfu-bronze,161.81,26.9,2.15,3.91,1.94,1.91,155,1,0.486,3.33E-09,3.01E-11,1,1.49E-10,1.73E-05,FALSE
IC190712A,132814,44222682,15:17.4,58676.05228,gfu-bronze,76.64,12.75,5.23,6.99,4.79,2.82,109,2.61,0.304,5.84E-09,8.24E-07,0.000641,5.57E-05,0.999,FALSE
IC190730A,132910,57145925,50:41.3,58694.86853,gfu-gold,226.14,10.77,1.27,1.98,1.03,1.17,298,0.68,0.67,1.77E-08,4.27E-08,0.0449,2.21E-05,0.955,FALSE
IC190819A,132974,67924813,34:24.2,58714.73222,gfu-bronze,148.54,1.45,2.29,3.3,0.93,0.75,113,3.85,0.293,1.96E-06,1.36E-06,0.0957,7.55E-05,0.904,FALSE
IC190922A,133091,81419,42:45.6,58748.40469,ehe-gold,167.3,-22.27,2.81,2.72,3.39,3.31,3114,0.23,0.202,3.75E-05,0.000422,6.36E-05,0.000227,0.999,FALSE
IC190922B,133092,52499868,03:55.6,58748.96106,gfu-gold,5.71,-1.53,1.19,1.27,0.9,0.78,187,1.33,0.504,2.68E-05,5.19E-06,0.0032,0.000217,0.997,FALSE
IC191001A,133119,22683750,09:18.2,58757.83979,gfu-gold,313.99,12.79,6.94,2.46,1.65,1.64,218,0.86,0.59,3.22E-05,2.21E-10,1,6.14E-09,9.03E-07,FALSE
IC191119A,133331,47828126,01:29.4,58806.0427,gfu-gold,229.31,3.77,5.49,4.97,2.47,2.24,177,1.54,0.451,2.54E-08,2.41E-07,0.000172,9.61E-06,1,FALSE
IC191122A,133348,80807014,45:10.5,58809.94804,gfu-bronze,27.03,0.07,1.98,2.72,1.08,1.57,127,3.13,0.329,5.35E-08,1.90E-07,0.000216,7.18E-05,1,FALSE
IC191204A,133394,27261780,46:11.3,58821.94874,gfu-bronze,80.16,2.87,2.42,1.98,1.05,0.97,130,3.22,0.326,1.73E-06,4.71E-07,0.0116,0.00055,0.988,FALSE
IC191215A,133433,29047901,09:57.6,58832.46525,gfu-bronze,286.83,58.45,2.27,1.92,2.08,1.86,133,0.34,0.476,1.95E-14,6.86E-10,7.51E-06,5.24E-07,1,FALSE
IC191231A,133572,82361476,00:06.1,58848.4584,gfu-bronze,48.47,20.11,5.98,7.65,4.48,3.73,156,1.55,0.464,4.87E-08,0.000102,7.64E-05,0.000108,1,FALSE
IC200109A,133609,37927131,41:39.9,58857.98727,gfu-gold,165.45,11.8,3.6,4.39,1.18,1.29,375,0.64,0.769,5.19E-12,2.20E-06,2.10E-08,2.21E-05,1,FALSE
IC200117A,133634,1410505,08:29.7,58865.46423,gfu-bronze,116.02,29.18,0.79,1.19,0.86,0.81,108,1.93,0.375,3.83E-12,3.18E-08,5.09E-06,1.10E-05,1,FALSE
IC200120A,133644,43767651,48:18.6,58868.78355,gfu-bronze,67.41,-14.59,0.4,0.31,0.23,0.27,6055,0.37,0.314,2.31E-05,6.09E-05,0.000504,9.45E-05,0.999,TRUE
IC200410A,133945,24635982,19:55.5,58949.97217,gfu-bronze,242.58,11.61,10.2,10.2,7.83,6.19,110,2.55,0.305,1.20E-09,2.04E-07,6.80E-05,1.12E-05,1,FALSE
IC200421A,133985,60770138,35:24.2,58960.02459,gfu-bronze,87.93,8.23,3.43,2.81,2.08,1.81,127,2.79,0.333,1.16E-08,4.38E-12,1,8.83E-11,5.19E-08,FALSE
IC200425A,134013,16038252,26:46.3,58964.97693,gfu-bronze,99.97,53.72,4.76,3,2.25,1.69,135,0.52,0.481,4.76E-17,2.03E-10,5.53E-10,1.61E-09,1,FALSE
IC200512A,134081,58268464,31:27.8,58981.31352,gfu-bronze,295.18,15.79,1.67,2.24,1.24,1.28,109,2.61,0.322,4.44E-10,2.63E-08,7.54E-05,3.16E-06,1,FALSE
IC200523A,134116,58596690,30:07.6,58992.10425,gfu-bronze,338.64,1.75,9.98,6.02,1.79,3.51,105,4.91,0.25,2.71E-09,6.66E-08,4.29E-05,1.20E-05,1,FALSE
IC200530A,134139,35473338,54:29.4,58999.32951,ehe-gold,255.37,26.61,2.46,2.55,2.32,3.25,82,1.95,0.59,3.89E-10,9.90E-07,2.09E-06,2.60E-06,1,FALSE
IC200614A,134187,72386329,41:21.4,59014.52872,gfu-bronze,33.84,31.61,4.79,6.37,2.71,2.25,115,1.48,0.415,2.11E-05,1.08E-09,1,4.09E-10,2.87E-08,FALSE
IC200615A,134191,17593623,49:17.4,59015.61756,gfu-gold,142.95,3.66,1.14,1.41,1.16,1.01,496,0.29,0.828,2.04E-07,5.64E-07,6.67E-05,2.94E-05,1,FALSE
IC200620A,134207,33533447,03:32.3,59020.12746,gfu-bronze,162.11,11.95,0.62,0.92,0.61,0.46,114,2.32,0.325,3.51E-07,1.46E-07,0.00251,0.000974,0.997,FALSE
IC200806A,134354,59221243,50:56.4,59067.57704,gfu-bronze,157.25,47.75,1.17,0.87,0.64,0.59,107,0.79,0.397,1.29E-08,5.75E-10,0.0405,7.73E-05,0.959,FALSE
IC200911A,134482,27754576,19:46.2,59103.59706,gfu-bronze,51.11,38.11,4.39,10.99,2.31,1.97,111,0.97,0.408,1.23E-08,0.548,0.000699,1.90E-06,0.451,FALSE
IC200916A,134498,12605830,40:31.0,59108.86147,gfu-bronze,109.78,14.36,1.05,1.41,0.85,0.81,110,2.48,0.322,6.98E-08,4.10E-11,1,1.83E-10,4.46E-06,FALSE
IC200921A,134512,71996695,07:12.9,59113.79668,gfu-bronze,195.29,26.24,2.33,1.71,1.46,1.73,117,1.59,0.409,8.24E-13,1.35E-07,4.68E-07,5.31E-06,1,FALSE
IC200926A,134533,53384881,54:11.6,59118.3293,ehe-gold,96.46,-4.33,0.7,0.53,0.6,0.75,670,0.54,0.44,3.76E-05,1.19E-07,1,1.12E-08,7.18E-06,FALSE
IC200926B,134535,41069485,35:29.2,59118.94131,gfu-bronze,184.75,32.93,3.65,1.54,1.16,0.88,121,1.29,0.434,7.48E-11,3.46E-09,3.84E-08,4.58E-05,1,FALSE
IC200929A,134552,68615710,48:36.8,59121.74209,gfu-gold,29.53,3.47,0.53,0.53,0.71,0.34,183,1.41,0.475,4.37E-08,1.25E-07,0.00278,0.00016,0.997,FALSE
IC201007A,134577,31638233,01:49.3,59129.91793,gfu-gold,265.17,5.34,0.48,0.48,0.3,0.19,683,0.26,0.885,1.31E-07,1.50E-08,0.0469,0.000186,0.953,FALSE
IC201014A,134599,66310113,13:27.5,59136.09268,gfu-bronze,221.22,14.44,0.97,1.19,0.66,0.46,147,1.71,0.414,5.38E-05,2.02E-07,1,1.29E-08,3.92E-06,FALSE
IC201021A,134621,31008065,37:47.5,59143.27624,gfu-bronze,260.82,14.55,1.71,1.67,1.31,0.69,105,2.99,0.297,1.44E-12,4.90E-08,2.17E-07,1.32E-07,1,FALSE
IC201114A,134698,40735501,05:32.0,59167.62884,gfu-gold,105.73,5.87,0.92,1.27,1.05,1.01,214,0.92,0.562,4.24E-09,6.83E-07,8.32E-06,2.06E-05,1,FALSE
IC201115A,134699,70289682,07:26.2,59168.0885,gfu-gold,195.12,1.38,1.23,1.45,1.27,1.08,177,1.52,0.46,1.46E-09,2.28E-07,3.21E-05,5.59E-07,1,FALSE
IC201120A,134715,65785778,44:40.6,59173.40602,gfu-bronze,307.66,40.72,5.19,5.68,5.02,2.75,154,0.29,0.503,6.90E-13,2.56E-08,2.49E-07,1.12E-05,1,FALSE
IC201130A,134751,31476488,21:46.5,59183.84845,ehe-gold,30.54,-12.1,1.1,1.27,1.14,1.11,203,1.32,0.15,0.000122,0.00077,0.00433,0.00149,0.993,FALSE
IC201209A,134777,8912764,15:43.9,59192.42759,ehe-gold,6.86,-9.25,1.01,1.19,0.94,1.1,419,0.77,0.19,3.61E-05,1.40E-10,1,4.24E-10,9.76E-09,FALSE
IC201221A,134817,29175858,36:53.5,59204.52562,gfu-gold,261.69,41.81,2.28,2.46,1.25,1.14,175,0.15,0.564,2.93E-14,2.21E-10,2.07E-08,4.61E-05,1,FALSE
IC201222A,134818,73718836,56:16.1,59205.03908,gfu-gold,206.37,13.44,0.88,0.75,0.54,0.34,186,1.01,0.534,2.66E-07,1.09E-06,0.00192,1.21E-05,0.998,FALSE
