NAME,RUNID,EVENTID,START,EVENTMJD,I3TYPE,RA,DEC,RA_ERR_PLUS,RA_ERR_MINUS,DEC_ERR_PLUS,DEC_ERR_MINUS,ENERGY,FAR,SIGNAL,CASCADE_SCR,SKIMMING_SCR,START_SCR,STOP_SCR,THRGOING_SCR,CR_VETO
IC140213A,124221,76481548,25:05.1,56701.80909,gfu-bronze,202.59,13.06,4.79,3.21,2.31,2.52,140,1.79,0.394,5.92E-11,9.01E-07,1.78E-07,8.33E-08,1,FALSE
IC140223A,124296,49827757,05:00.4,56711.92014,gfu-bronze,118.83,32.58,11.87,11.87,5.68,9.83,119,1.33,0.43,5.08E-09,3.30E-07,3.14E-06,3.11E-05,1,FALSE
IC140307A,124340,19400842,04:49.3,56723.92002,gfu-bronze,308.06,32.93,2.68,4.61,2.71,3.23,109,1.18,0.396,5.20E-12,1.55E-08,1.18E-08,4.61E-06,1,FALSE
IC140324A,124463,35466777,08:34.3,56740.08929,gfu-bronze,225.7,51.06,5.67,4.65,4,2.87,109,0.74,0.403,7.23E-12,1.80E-10,2.12E-06,4.53E-05,1,FALSE
IC140410A,124547,66087371,22:12.6,56757.09876,gfu-gold,2.11,81.22,151.51,58.92,8,6.94,246,0.16,0.627,5.06E-05,4.44E-10,1,3.28E-09,2.42E-09,FALSE
IC140411A,124569,22040903,36:08.6,56758.56677,gfu-bronze,146.95,15.91,3.12,3.12,2.89,2.62,156,1.55,0.454,3.88E-06,4.52E-11,1,8.45E-11,1.61E-08,FALSE
IC140420A,124643,5182926,37:28.3,56767.85936,gfu-bronze,6.28,16.57,7.03,5.89,4.77,5.11,163,1.33,0.489,1.79E-09,2.80E-07,4.29E-06,1.69E-05,1,FALSE
IC140503A,124693,33063779,58:06.2,56780.95702,gfu-bronze,162.3,46.57,6.91,11.26,5.41,5.11,109,0.7,0.404,2.32E-07,9.69E-10,1,4.11E-08,0.000192,FALSE
IC140603A,124829,42577032,25:09.1,56811.14247,gfu-bronze,9.71,7.56,0.62,0.88,0.53,0.83,152,2.2,0.377,7.98E-05,1.41E-08,0.999,2.02E-06,0.000842,FALSE
IC140609A,124852,74171655,16:24.4,56817.63639,gfu-gold,106.26,1.31,2.68,2.15,1.05,0.86,459,0.3,0.815,2.26E-07,2.92E-08,0.0134,1.83E-05,0.987,FALSE
IC140611A,124861,32863663,54:24.4,56819.20445,gfu-gold,110.65,11.45,0.53,0.62,0.19,0.19,5960,0.15,0.997,8.39E-10,7.04E-08,4.85E-06,1.02E-05,1,FALSE
IC140704A,124994,15096469,08:47.8,56842.29778,gfu-bronze,157.07,53.62,4.69,4.64,3.35,3.48,150,0.39,0.504,2.88E-07,1.14E-10,1,7.86E-09,3.37E-08,FALSE
IC140705A,125001,73159253,02:55.1,56843.66869,gfu-gold,25.88,2.54,1.85,2.99,1.79,1.75,212,0.94,0.559,4.11E-09,2.99E-06,5.54E-05,2.77E-05,1,FALSE
IC140707A,125011,43302321,59:43.2,56845.49981,gfu-bronze,240.86,14.17,3.08,2.07,1.54,1.65,167,1.29,0.478,5.15E-09,9.94E-08,0.00286,1.08E-05,0.997,FALSE
IC140713A,125046,64570437,21:28.4,56851.55658,gfu-bronze,0.79,15.6,1.14,1.19,0.89,0.66,134,1.95,0.391,1.53E-09,3.37E-08,0.00649,2.69E-06,0.994,FALSE
IC140721A,125071,31397276,12:43.2,56859.75883,hese-gold,101.82,-32.89,6.77,6.86,5.23,8.08,157,0.56,0.565,0.00101,0.000397,0.0154,0.00274,0.98,FALSE
IC140820A,125205,19617837,04:23.3,56889.37805,gfu-bronze,271.45,1.87,3.43,1.8,1.42,1.46,108,4.42,0.267,1.30E-07,2.49E-06,1.07E-05,0.000483,1,FALSE
IC140923A,125338,65606123,18:23.3,56923.7211,ehe-gold,169.72,-1.6,0.7,0.83,0.52,0.3,209,1.41,0.241,2.79E-07,1.20E-06,2.34E-05,0.000146,1,FALSE
IC140927A,125349,12316485,51:37.1,56927.16085,gfu-gold,50.89,-0.63,3.91,5.14,1.49,1.42,182,1.44,0.481,4.67E-06,5.97E-11,1,1.44E-09,6.13E-08,FALSE
IC141012A,125422,26630854,01:14.9,56942.75087,gfu-bronze,63.85,3.21,2.24,1.36,0.9,1.08,173,1.62,0.436,1.56E-09,8.56E-08,6.35E-05,1.27E-06,1,FALSE
IC141110A,125544,54236696,07:19.9,56971.29676,gfu-bronze,253.43,6.43,0.83,1.1,0.71,0.68,113,3.65,0.286,5.66E-07,2.74E-08,0.301,5.64E-06,0.699,FALSE
IC141114A,125558,19184163,09:53.7,56975.25687,gfu-bronze,221.48,28,4.53,2.29,2.31,2.3,110,1.93,0.38,1.61E-10,9.40E-07,1.93E-07,9.82E-05,1,FALSE
IC141208A,125693,21174828,02:29.7,56999.6684,gfu-bronze,246.36,17.23,1.76,1.89,1.29,1.09,109,2.53,0.331,1.42E-07,4.28E-07,0.0128,0.000432,0.987,FALSE
IC141210A,125709,6405911,20:47.5,57001.84777,gfu-bronze,318.12,1.57,2.33,1.93,1.57,1.72,154,2.39,0.373,6.34E-07,1.97E-10,1,1.22E-09,4.04E-07,FALSE
IC141221A,125757,12938244,50:45.6,57012.41025,gfu-bronze,179.08,-1.94,0.88,1.1,0.71,0.82,134,2.69,0.35,2.20E-06,1.45E-08,0.398,5.08E-05,0.602,FALSE
